BERT_sentiment_score,normalised_word_count,pub_day,pub_hour,topic,n_comments
1.0,0.114633365,0.0,0.0,76.0,1462
0.0,0.075248159,2.0,23.0,76.0,75
2.0,0.045533141,2.0,18.0,66.0,30
2.0,0.127697727,2.0,9.0,2.0,17
0.0,0.094716619,2.0,9.0,62.0,56
1.0,0.048863272,6.0,22.0,18.0,185
2.0,0.057188601,1.0,7.0,53.0,6
0.0,0.155043228,0.0,4.0,13.0,100
2.0,0.093371758,0.0,7.0,67.0,75
1.0,0.070893372,3.0,1.0,56.0,12
1.0,0.071341659,4.0,9.0,83.0,13
2.0,0.136151137,5.0,19.0,4.0,88
2.0,0.098110791,2.0,9.0,19.0,27
0.0,0.018699968,3.0,10.0,68.0,30
2.0,0.075120077,3.0,10.0,56.0,21
1.0,0.12142171,2.0,9.0,75.0,57
0.0,0.062760167,1.0,0.0,48.0,997
0.0,0.018123599,2.0,10.0,68.0,31
1.0,0.029394813,0.0,13.0,69.0,2
2.0,0.093820045,4.0,15.0,29.0,26
0.0,0.100480307,1.0,0.0,75.0,323
0.0,0.039449248,4.0,15.0,56.0,12
0.0,0.048222863,0.0,23.0,48.0,244
0.0,0.079282741,2.0,10.0,49.0,70
1.0,0.051424912,6.0,21.0,18.0,243
0.0,0.092667307,4.0,19.0,76.0,1235
0.0,0.095997438,4.0,9.0,48.0,548
2.0,0.076144733,4.0,23.0,48.0,382
1.0,0.054883125,4.0,16.0,81.0,13
1.0,0.06231188,4.0,10.0,70.0,598
2.0,0.048158822,2.0,9.0,54.0,34
0.0,0.13179635,5.0,9.0,76.0,821
0.0,0.071853987,6.0,22.0,26.0,394
2.0,0.042331092,4.0,17.0,29.0,143
2.0,0.2,0.0,7.0,75.0,258
2.0,0.052065322,0.0,9.0,48.0,185
0.0,0.073070765,6.0,20.0,48.0,672
2.0,0.026577009,2.0,18.0,29.0,41
2.0,0.054947166,4.0,15.0,48.0,86
1.0,0.079346782,0.0,18.0,29.0,201
2.0,0.098110791,4.0,0.0,75.0,260
1.0,0.082933077,5.0,13.0,48.0,190
0.0,0.027217419,4.0,15.0,45.0,82
0.0,0.362536023,1.0,4.0,82.0,41
2.0,0.156644252,4.0,10.0,55.0,49
0.0,0.093179635,3.0,7.0,4.0,523
1.0,0.087351905,3.0,9.0,45.0,61
0.0,0.056292027,3.0,19.0,48.0,1949
0.0,0.377137368,3.0,9.0,82.0,550
2.0,0.076400897,4.0,10.0,74.0,17
1.0,0.086519372,3.0,9.0,67.0,18
1.0,0.069612552,6.0,18.0,72.0,67
2.0,0.032020493,4.0,15.0,81.0,56
2.0,0.029971182,1.0,9.0,62.0,5
1.0,0.027217419,3.0,17.0,29.0,65
0.0,0.095164906,4.0,17.0,26.0,26
1.0,0.050592379,2.0,15.0,2.0,17
0.0,0.080691643,3.0,12.0,65.0,41
1.0,0.069292347,1.0,1.0,76.0,1851
2.0,0.04739033,2.0,19.0,48.0,173
2.0,0.186743516,5.0,14.0,63.0,996
0.0,0.081780339,2.0,9.0,45.0,5
1.0,0.077553634,4.0,9.0,10.0,27
0.0,0.064745437,3.0,0.0,48.0,952
0.0,0.060838937,3.0,18.0,13.0,36
0.0,0.058725584,1.0,17.0,75.0,12
0.0,0.013384566,6.0,13.0,68.0,21
2.0,0.047134166,2.0,9.0,56.0,15
2.0,0.055523535,5.0,0.0,48.0,1010
2.0,0.092026897,6.0,10.0,76.0,757
2.0,0.13115594,1.0,9.0,29.0,273
0.0,0.018123599,1.0,11.0,68.0,15
1.0,0.047134166,1.0,17.0,56.0,22
2.0,0.083061159,0.0,14.0,55.0,14
0.0,0.083637528,3.0,5.0,26.0,33
0.0,0.074479667,4.0,9.0,63.0,1581
0.0,0.023567083,4.0,10.0,69.0,217
2.0,0.086263208,0.0,9.0,48.0,736
2.0,0.082292667,2.0,13.0,55.0,7
2.0,0.092603266,1.0,14.0,76.0,1214
0.0,0.066986872,4.0,9.0,24.0,285
2.0,0.055651617,3.0,2.0,18.0,391
0.0,0.085750881,2.0,11.0,13.0,16
2.0,0.039449248,1.0,21.0,3.0,2
2.0,0.069804675,0.0,9.0,11.0,156
1.0,0.046942043,0.0,10.0,54.0,81
2.0,0.176753122,5.0,17.0,75.0,589
0.0,0.089273135,1.0,10.0,48.0,1207
2.0,0.041690682,2.0,19.0,56.0,2
2.0,0.035030419,4.0,15.0,29.0,19
2.0,0.047326289,1.0,9.0,73.0,12
0.0,0.110086455,1.0,9.0,76.0,291
0.0,0.090682037,3.0,23.0,48.0,252
2.0,0.062183798,1.0,16.0,44.0,17
2.0,0.093307717,2.0,9.0,47.0,40
2.0,0.06948447,4.0,19.0,46.0,74
2.0,0.031636247,0.0,12.0,69.0,6
2.0,0.062375921,1.0,9.0,48.0,40
0.0,0.062760167,3.0,9.0,48.0,1317
0.0,0.008261287,0.0,15.0,18.0,4
2.0,0.036311239,0.0,21.0,29.0,16
2.0,0.005251361,1.0,7.0,69.0,19
2.0,0.063592699,5.0,17.0,44.0,13
2.0,0.059942363,3.0,14.0,3.0,78
1.0,0.098751201,1.0,6.0,56.0,120
2.0,0.075248159,0.0,19.0,56.0,34
1.0,0.100480307,6.0,1.0,76.0,469
0.0,0.043868076,0.0,21.0,56.0,41
0.0,0.092090938,1.0,5.0,4.0,166
2.0,0.062888248,1.0,9.0,27.0,59
2.0,0.063976945,2.0,9.0,61.0,212
1.0,0.081524175,4.0,12.0,69.0,148
1.0,0.040730067,0.0,18.0,26.0,21
0.0,0.183669549,3.0,10.0,2.0,184
0.0,0.093371758,3.0,19.0,2.0,3
0.0,0.066666667,4.0,9.0,70.0,285
0.0,0.187447967,1.0,12.0,75.0,469
2.0,0.081203971,0.0,9.0,27.0,72
2.0,0.070060839,2.0,13.0,55.0,19
0.0,0.302721742,0.0,9.0,82.0,102
1.0,0.085494717,0.0,9.0,75.0,233
2.0,0.083893692,4.0,14.0,53.0,142
1.0,0.104258726,1.0,14.0,72.0,264
0.0,0.052001281,2.0,16.0,15.0,148
0.0,0.078065962,4.0,9.0,65.0,21
2.0,0.043611912,2.0,7.0,32.0,1
0.0,0.083061159,0.0,19.0,48.0,1239
2.0,0.074287544,1.0,14.0,26.0,56
0.0,0.626128722,2.0,10.0,38.0,116
1.0,0.028818444,3.0,9.0,3.0,7
0.0,0.088376561,1.0,20.0,15.0,21
2.0,0.077233429,1.0,17.0,66.0,9
0.0,0.039705411,6.0,18.0,66.0,14
2.0,0.015369837,1.0,10.0,68.0,7
2.0,0.014089017,6.0,13.0,68.0,7
2.0,0.087608069,4.0,17.0,10.0,267
0.0,0.033045149,4.0,6.0,40.0,406
2.0,0.076400897,2.0,13.0,55.0,20
0.0,0.286967659,3.0,6.0,75.0,324
2.0,0.008645533,3.0,13.0,55.0,23
2.0,0.068972142,2.0,18.0,26.0,31
2.0,0.142106948,4.0,10.0,55.0,176
0.0,0.05975024,2.0,9.0,63.0,221
0.0,0.054819084,3.0,9.0,62.0,429
2.0,0.086007045,4.0,15.0,57.0,10
2.0,0.093051553,2.0,13.0,11.0,85
0.0,0.072878642,1.0,14.0,26.0,10
0.0,0.053538264,5.0,2.0,48.0,493
0.0,0.11431316,3.0,0.0,76.0,183
0.0,0.082548831,2.0,10.0,26.0,122
0.0,0.057380724,4.0,9.0,4.0,130
1.0,0.071021454,5.0,18.0,63.0,1465
2.0,0.071277618,0.0,10.0,64.0,45
2.0,0.025680435,2.0,9.0,69.0,1
0.0,0.07857829,2.0,9.0,45.0,313
0.0,0.071789946,2.0,21.0,45.0,51
0.0,0.374383606,2.0,9.0,82.0,1032
2.0,0.054434838,2.0,2.0,18.0,340
0.0,0.107845021,1.0,22.0,48.0,39
0.0,0.086007045,1.0,6.0,31.0,238
2.0,0.065898175,1.0,15.0,29.0,124
0.0,0.082292667,1.0,9.0,48.0,733
2.0,0.115786103,4.0,9.0,38.0,25
2.0,0.085174512,1.0,17.0,13.0,29
2.0,0.062952289,1.0,9.0,73.0,7
0.0,0.103490234,3.0,9.0,70.0,342
1.0,0.053794428,3.0,9.0,62.0,245
0.0,0.086199167,1.0,14.0,76.0,258
0.0,0.100608389,3.0,15.0,29.0,21
0.0,0.090041627,5.0,16.0,65.0,2884
2.0,0.125072046,3.0,9.0,62.0,14
0.0,0.084470061,2.0,10.0,48.0,274
0.0,0.083509446,3.0,23.0,48.0,287
0.0,0.039961575,3.0,6.0,66.0,23
2.0,0.08568684,6.0,13.0,44.0,5
0.0,0.090553955,1.0,23.0,76.0,72
2.0,0.098623119,0.0,13.0,44.0,37
0.0,0.086967659,0.0,9.0,13.0,58
1.0,0.066602626,3.0,23.0,39.0,61
2.0,0.292795389,1.0,10.0,38.0,479
1.0,0.09414025,1.0,9.0,45.0,248
0.0,0.095741274,3.0,9.0,75.0,38
0.0,0.085430676,2.0,8.0,26.0,5
0.0,0.082228626,5.0,9.0,62.0,29
1.0,0.040025616,2.0,11.0,62.0,393
0.0,0.554466859,1.0,13.0,38.0,772
0.0,0.05846942,3.0,0.0,48.0,1655
1.0,0.063848863,2.0,15.0,66.0,3
0.0,0.085558758,0.0,10.0,70.0,97
0.0,0.077873839,3.0,9.0,45.0,185
0.0,0.075760487,2.0,14.0,65.0,93
2.0,0.05321806,2.0,16.0,2.0,4
2.0,0.056932437,4.0,12.0,69.0,883
2.0,0.055331412,5.0,19.0,48.0,40
2.0,0.068780019,2.0,18.0,45.0,10
2.0,0.028754403,4.0,16.0,29.0,18
0.0,0.081652257,2.0,0.0,76.0,12
0.0,0.095549151,4.0,9.0,1.0,131
2.0,0.067371118,2.0,21.0,53.0,24
0.0,0.04803074,2.0,15.0,56.0,10
0.0,0.106243996,0.0,19.0,29.0,380
1.0,0.057316683,1.0,18.0,75.0,7
0.0,0.008261287,3.0,19.0,48.0,332
1.0,0.085238553,5.0,12.0,31.0,2
1.0,0.111879603,4.0,1.0,76.0,945
0.0,0.057508806,0.0,22.0,48.0,847
2.0,0.093948127,1.0,6.0,56.0,8
2.0,0.074287544,1.0,23.0,44.0,9
0.0,0.019788665,6.0,21.0,69.0,984
0.0,0.086903618,4.0,15.0,31.0,7
0.0,0.089337176,3.0,9.0,38.0,41
1.0,0.09221902,2.0,9.0,55.0,47
2.0,0.083637528,4.0,10.0,45.0,71
2.0,0.065770093,2.0,19.0,56.0,21
2.0,0.049503682,0.0,16.0,56.0,12
1.0,0.082420749,3.0,10.0,70.0,84
0.0,0.019532501,2.0,11.0,68.0,10
0.0,0.109638168,4.0,15.0,44.0,8
1.0,0.152993916,1.0,4.0,13.0,664
1.0,0.028818444,4.0,15.0,29.0,97
1.0,0.109446045,3.0,9.0,76.0,92
0.0,0.014537304,3.0,13.0,27.0,6
2.0,0.060774896,3.0,0.0,69.0,10
1.0,0.135254563,2.0,9.0,48.0,771
0.0,0.06884406,1.0,15.0,48.0,1124
0.0,0.086455331,2.0,10.0,38.0,301
0.0,0.129362792,4.0,9.0,15.0,160
2.0,0.054370797,3.0,9.0,73.0,42
0.0,0.49478066,1.0,9.0,82.0,276
1.0,0.070188921,1.0,16.0,29.0,31
0.0,0.119564521,1.0,16.0,75.0,14
2.0,0.085878963,5.0,18.0,63.0,571
1.0,0.075504323,4.0,9.0,10.0,239
2.0,0.047902658,1.0,2.0,18.0,311
0.0,0.37470381,3.0,4.0,82.0,39
0.0,0.102081332,3.0,12.0,75.0,170
0.0,0.058533461,0.0,23.0,48.0,1869
2.0,0.091258405,1.0,10.0,10.0,7
2.0,0.023246878,4.0,16.0,29.0,40
2.0,0.068587896,4.0,0.0,76.0,36
2.0,0.004162664,4.0,7.0,69.0,76
0.0,0.052769773,2.0,9.0,75.0,163
0.0,0.013448607,0.0,9.0,48.0,622
2.0,0.079346782,5.0,15.0,63.0,667
0.0,0.091962856,2.0,13.0,55.0,9
0.0,0.060326609,0.0,10.0,54.0,16
0.0,0.081460134,4.0,10.0,70.0,361
1.0,0.05776497,0.0,22.0,48.0,773
2.0,0.050784502,2.0,2.0,18.0,372
0.0,0.066090298,1.0,9.0,45.0,8
1.0,0.076016651,3.0,11.0,13.0,208
0.0,0.055011207,1.0,23.0,45.0,362
2.0,0.051040666,4.0,8.0,66.0,15
0.0,0.017611271,1.0,9.0,68.0,20
1.0,0.052257445,1.0,17.0,72.0,13
2.0,0.081652257,6.0,18.0,29.0,9
0.0,0.107460775,2.0,18.0,76.0,751
2.0,0.086839577,1.0,9.0,76.0,95
1.0,0.108229267,1.0,7.0,31.0,190
2.0,0.047070125,2.0,15.0,48.0,719
0.0,0.051681076,0.0,0.0,48.0,1540
2.0,0.091258405,4.0,22.0,76.0,210
0.0,0.110726865,5.0,16.0,26.0,760
2.0,0.068780019,5.0,15.0,48.0,1024
0.0,0.107524816,1.0,18.0,66.0,19
2.0,0.074991995,1.0,9.0,10.0,16
0.0,0.06039065,4.0,9.0,48.0,1313
2.0,0.039385207,4.0,11.0,69.0,2
2.0,0.084918348,2.0,23.0,76.0,2072
0.0,0.067883445,1.0,22.0,75.0,329
2.0,0.100800512,1.0,15.0,62.0,93
1.0,0.03893692,2.0,5.0,72.0,5
1.0,0.056932437,1.0,9.0,11.0,11
0.0,0.030483509,3.0,9.0,75.0,57
2.0,0.012872238,1.0,7.0,69.0,111
2.0,0.098302914,3.0,8.0,52.0,17
2.0,0.433621518,3.0,9.0,38.0,403
0.0,0.097534422,0.0,0.0,75.0,360
0.0,0.05712456,3.0,22.0,48.0,702
2.0,0.039769452,1.0,21.0,29.0,24
2.0,0.059942363,1.0,15.0,38.0,94
2.0,0.010438681,3.0,9.0,38.0,21
2.0,0.166826769,0.0,14.0,26.0,254
0.0,0.074351585,1.0,23.0,48.0,493
1.0,0.227217419,4.0,13.0,64.0,20
0.0,0.058725584,2.0,23.0,48.0,1566
0.0,0.080179315,2.0,15.0,40.0,81
0.0,0.452065322,0.0,9.0,82.0,189
0.0,0.06493756,3.0,14.0,39.0,8
2.0,0.08184438,6.0,9.0,26.0,182
1.0,0.047006084,1.0,20.0,15.0,40
2.0,0.027345501,4.0,15.0,29.0,25
2.0,0.091002241,2.0,9.0,48.0,311
2.0,0.036823567,1.0,0.0,3.0,16
0.0,0.214857509,3.0,14.0,66.0,521
0.0,0.087544028,2.0,10.0,38.0,220
2.0,0.131091899,1.0,9.0,29.0,136
2.0,0.078194044,3.0,9.0,37.0,33
2.0,0.071853987,1.0,16.0,29.0,37
2.0,0.066474544,4.0,15.0,43.0,38
2.0,0.067627281,2.0,10.0,18.0,2
0.0,0.090105668,0.0,9.0,13.0,21
0.0,0.020813321,0.0,9.0,68.0,95
1.0,0.089016971,1.0,9.0,10.0,15
0.0,0.100160102,2.0,18.0,70.0,41
1.0,0.104066603,3.0,19.0,75.0,79
0.0,0.152417547,4.0,9.0,75.0,979
0.0,0.079923151,3.0,8.0,65.0,43
1.0,0.011463337,1.0,8.0,69.0,54
1.0,0.081011848,0.0,16.0,70.0,843
0.0,0.099903939,3.0,14.0,13.0,551
2.0,0.273903298,2.0,9.0,38.0,222
2.0,0.211143132,4.0,9.0,45.0,287
1.0,0.027857829,3.0,21.0,72.0,3
2.0,0.075184118,4.0,10.0,63.0,151
0.0,0.063528658,0.0,22.0,76.0,78
1.0,0.067371118,1.0,9.0,37.0,14
1.0,0.060518732,2.0,12.0,13.0,119
0.0,0.137303874,4.0,9.0,62.0,212
2.0,0.008965738,3.0,13.0,55.0,7
1.0,0.104707012,3.0,3.0,76.0,1099
1.0,0.092475184,2.0,13.0,55.0,12
2.0,0.065129683,2.0,16.0,70.0,159
2.0,0.032660903,3.0,8.0,2.0,18
2.0,0.03182837,2.0,16.0,29.0,124
2.0,0.051488953,2.0,16.0,44.0,8
2.0,0.057316683,4.0,23.0,48.0,218
0.0,0.363048351,3.0,9.0,82.0,415
0.0,0.089145053,2.0,9.0,15.0,80
0.0,0.057252642,4.0,15.0,48.0,280
2.0,0.173294909,2.0,9.0,9.0,43
1.0,0.059942363,1.0,0.0,48.0,1234
1.0,0.093948127,0.0,0.0,76.0,333
1.0,0.079987192,0.0,7.0,52.0,12
2.0,0.071533782,0.0,9.0,37.0,54
1.0,0.102721742,4.0,8.0,76.0,784
1.0,0.076785142,4.0,11.0,69.0,182
1.0,0.124943964,0.0,7.0,61.0,1
0.0,0.07857829,0.0,7.0,13.0,15
2.0,0.0454691,3.0,15.0,29.0,19
2.0,0.094588537,6.0,19.0,65.0,18
2.0,0.045789305,2.0,17.0,29.0,255
0.0,0.088632725,2.0,17.0,76.0,1080
2.0,0.084213897,1.0,19.0,48.0,505
1.0,0.081011848,4.0,9.0,70.0,266
1.0,0.099455652,1.0,10.0,76.0,31
0.0,0.097278258,0.0,9.0,75.0,316
2.0,0.050720461,4.0,22.0,66.0,7
0.0,0.004418828,4.0,8.0,69.0,77
0.0,0.103105988,4.0,14.0,22.0,433
0.0,0.441306436,3.0,9.0,82.0,524
0.0,0.051488953,5.0,15.0,63.0,4058
0.0,0.08504643,6.0,20.0,13.0,27
2.0,0.123535062,0.0,0.0,53.0,4
2.0,0.081652257,6.0,14.0,2.0,7
1.0,0.057636888,1.0,9.0,70.0,212
1.0,0.086135126,2.0,13.0,55.0,18
2.0,0.176560999,3.0,16.0,45.0,400
2.0,0.024783862,0.0,10.0,55.0,12
2.0,0.060262568,3.0,0.0,48.0,399
0.0,0.066538585,4.0,10.0,45.0,48
1.0,0.106179955,4.0,9.0,62.0,539
2.0,0.089081012,4.0,9.0,45.0,900
2.0,0.047902658,3.0,16.0,29.0,71
0.0,0.052129363,0.0,23.0,48.0,2010
0.0,0.056035863,6.0,23.0,48.0,828
1.0,0.038232469,4.0,2.0,72.0,6
2.0,0.07012488,5.0,22.0,18.0,268
0.0,0.060454691,1.0,20.0,39.0,108
0.0,0.084790266,2.0,17.0,45.0,1220
0.0,0.100928594,2.0,23.0,75.0,1313
0.0,0.158565482,3.0,21.0,76.0,57
0.0,0.056227986,3.0,21.0,48.0,1000
2.0,0.097598463,2.0,1.0,76.0,785
2.0,0.044316362,3.0,20.0,69.0,2
1.0,0.036759526,5.0,1.0,18.0,265
2.0,0.06884406,4.0,9.0,66.0,25
0.0,0.072814601,4.0,0.0,76.0,781
0.0,0.085302594,3.0,19.0,48.0,1834
1.0,0.04482869,2.0,23.0,31.0,73
1.0,0.043804035,1.0,3.0,18.0,164
0.0,0.097662504,3.0,9.0,31.0,292
1.0,0.052833814,3.0,22.0,45.0,165
1.0,0.043611912,3.0,15.0,56.0,9
0.0,0.066410503,1.0,12.0,55.0,29
0.0,0.076913224,0.0,16.0,4.0,21
1.0,0.144860711,0.0,20.0,76.0,2086
2.0,0.041498559,5.0,1.0,18.0,228
0.0,0.083573487,1.0,9.0,62.0,175
0.0,0.304835094,0.0,5.0,4.0,219
1.0,0.082228626,2.0,10.0,76.0,45
2.0,0.104194685,0.0,15.0,43.0,163
2.0,0.048286904,3.0,14.0,44.0,53
2.0,0.064361191,1.0,10.0,74.0,44
0.0,0.076849183,0.0,7.0,0.0,8
0.0,0.036887608,4.0,9.0,71.0,17
0.0,0.081011848,1.0,9.0,48.0,744
0.0,0.105155299,3.0,10.0,45.0,181
1.0,0.083701569,3.0,20.0,2.0,12
1.0,0.06103106,2.0,23.0,72.0,64
0.0,0.063976945,2.0,16.0,48.0,954
2.0,0.334165866,5.0,18.0,76.0,1612
0.0,0.420557157,2.0,9.0,82.0,346
0.0,0.191802754,4.0,5.0,82.0,1549
0.0,0.072174191,0.0,21.0,26.0,6
1.0,0.051488953,1.0,18.0,29.0,8
0.0,0.086007045,1.0,23.0,48.0,1910
0.0,0.080819725,3.0,19.0,26.0,1
2.0,0.049567723,2.0,9.0,54.0,4
0.0,0.063144412,3.0,20.0,63.0,1877
0.0,0.102401537,4.0,9.0,76.0,379
2.0,0.074863913,0.0,23.0,48.0,42
2.0,0.095421069,2.0,9.0,13.0,5
2.0,0.120461095,3.0,16.0,2.0,14
2.0,0.056612232,2.0,21.0,48.0,637
1.0,0.068395773,5.0,12.0,9.0,17
2.0,0.203202049,1.0,6.0,31.0,97
0.0,0.040089657,5.0,21.0,18.0,383
2.0,0.036311239,1.0,1.0,48.0,343
2.0,0.085750881,0.0,10.0,37.0,687
2.0,0.018635927,2.0,16.0,51.0,4
1.0,0.096189561,2.0,16.0,76.0,515
2.0,0.052385527,2.0,9.0,27.0,42
0.0,0.06884406,4.0,13.0,37.0,364
0.0,0.121165546,2.0,8.0,45.0,277
2.0,0.050144092,0.0,18.0,72.0,2
0.0,0.060710855,2.0,17.0,70.0,133
0.0,0.055267371,0.0,23.0,48.0,1074
0.0,0.066922831,4.0,16.0,65.0,25
2.0,0.052513609,4.0,12.0,69.0,533
0.0,0.016330451,1.0,9.0,68.0,41
1.0,0.110662824,1.0,9.0,76.0,132
0.0,0.055715658,3.0,4.0,76.0,300
0.0,0.169964777,3.0,23.0,75.0,39
0.0,0.076208774,2.0,12.0,26.0,166
1.0,0.042779379,5.0,13.0,42.0,1
2.0,0.086135126,2.0,18.0,64.0,9
1.0,0.075824528,1.0,11.0,11.0,11
0.0,0.012744156,4.0,21.0,11.0,99
2.0,0.089849504,4.0,18.0,42.0,345
0.0,0.05712456,2.0,9.0,48.0,1334
0.0,0.089465258,3.0,9.0,10.0,487
0.0,0.03637528,4.0,10.0,68.0,14
2.0,0.166762728,0.0,21.0,69.0,4
0.0,0.082676913,0.0,22.0,52.0,10
2.0,0.036183157,3.0,9.0,27.0,66
0.0,0.109574127,3.0,9.0,45.0,347
2.0,0.165289785,3.0,9.0,74.0,373
1.0,0.118988152,1.0,13.0,55.0,47
1.0,0.044508485,1.0,21.0,46.0,26
2.0,0.060070445,4.0,2.0,18.0,303
2.0,0.150112072,1.0,23.0,45.0,367
2.0,0.035670829,4.0,2.0,18.0,453
1.0,0.167339097,3.0,9.0,65.0,72
2.0,0.039129043,0.0,15.0,29.0,210
1.0,0.09414025,3.0,9.0,2.0,11
2.0,0.057572847,0.0,9.0,75.0,1
2.0,0.085494717,1.0,13.0,10.0,5
0.0,0.053538264,6.0,20.0,39.0,7
0.0,0.084662184,0.0,13.0,65.0,35
2.0,0.114121037,3.0,7.0,75.0,299
0.0,0.0870317,2.0,0.0,76.0,1093
2.0,0.083317323,0.0,21.0,56.0,38
2.0,0.111495357,0.0,19.0,29.0,91
2.0,0.074223503,2.0,0.0,48.0,875
0.0,0.102081332,1.0,17.0,76.0,1263
1.0,0.071725905,1.0,13.0,13.0,33
